pair_id,ext_id,name,persona,collected_at,source,label,family,obfuscated,rule_score,net_requests,net_hosts,net_third_party_hosts,net_ext_initiated,net_posts,net_upload_bytes,net_max_upload_bytes,net_encoded_params,net_worker_initiated,dom_reads,dom_sensitive_reads,dom_identity_reads,dom_injections,storage_calls,cookie_reads,cookie_bulk_reads,api_calls,api_distinct,api_high_risk,perm_count,perm_high_risk,host_perm_breadth,exfil_flows,exfil_flows_third_party,msg_passing,net_lowrep_hosts,stat_added_highrisk_perms,stat_escalated_broad_host,stat_added_hosts
synthext0002aaaaaaaaaaaaaaaaaaaaaa:1.0.2->1.0.3,synthext0002aaaaaaaaaaaaaaaaaaaaaa,Contacts Tool 002,contacts,2026-07-29,synthetic,malicious,redirect_hijack,False,0.35,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthext0002aaaaaaaaaaaaaaaaaaaaaa:1.0.3->1.0.4,synthext0002aaaaaaaaaaaaaaaaaaaaaa,Contacts Tool 002,contacts,2026-08-27,synthetic,malicious,redirect_hijack,True,0.9064,3.0,2.0,2.0,3.0,1.0,216.0,216.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0
synthext0003aaaaaaaaaaaaaaaaaaaaaa:1.4.0->1.4.1,synthext0003aaaaaaaaaaaaaaaaaaaaaa,Passmgr Tool 003,passmgr,2026-08-20,synthetic,benign,,False,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
synthext0003aaaaaaaaaaaaaaaaaaaaaa:1.4.1->1.4.2,synthext0003aaaaaaaaaaaaaaaaaaaaaa,Passmgr Tool 003,passmgr,2026-02-02,synthetic,malicious,ad_affiliate,True,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
synthext0003aaaaaaaaaaaaaaaaaaaaaa:1.4.2->1.4.3,synthext0003aaaaaaaaaaaaaaaaaaaaaa,Passmgr Tool 003,passmgr,2026-03-27,synthetic,malicious,redirect_hijack,True,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
synthext0003aaaaaaaaaaaaaaaaaaaaaa:1.4.3->1.4.4,synthext0003aaaaaaaaaaaaaaaaaaaaaa,Passmgr Tool 003,passmgr,2026-08-01,synthetic,benign,,False,0.25,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
synthext0004aaaaaaaaaaaaaaaaaaaaaa:1.6.0->1.6.1,synthext0004aaaaaaaaaaaaaaaaaaaaaa,Weather Tool 004,weather,2026-04-28,synthetic,benign,,False,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthext0004aaaaaaaaaaaaaaaaaaaaaa:1.6.1->1.6.2,synthext0004aaaaaaaaaaaaaaaaaaaaaa,Weather Tool 004,weather,2026-03-24,synthetic,benign,,False,0.7,1.0,1.0,1.0,1.0,1.0,214.0,214.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
synthext0004aaaaaaaaaaaaaaaaaaaaaa:1.6.2->1.6.3,synthext0004aaaaaaaaaaaaaaaaaaaaaa,Weather Tool 004,weather,2026-07-29,synthetic,benign,,False,0.7,0.0,1.0,1.0,0.0,1.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
synthext0004aaaaaaaaaaaaaaaaaaaaaa:1.6.3->1.6.4,synthext0004aaaaaaaaaaaaaaaaaaaaaa,Weather Tool 004,weather,2026-10-31,synthetic,benign,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
synthext0005aaaaaaaaaaaaaaaaaaaaaa:1.6.0->1.6.1,synthext0005aaaaaaaaaaaaaaaaaaaaaa,Translate Tool 005,translate,2026-06-02,synthetic,benign,,False,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
synthext0005aaaaaaaaaaaaaaaaaaaaaa:1.6.1->1.6.2,synthext0005aaaaaaaaaaaaaaaaaaaaaa,Translate Tool 005,translate,2026-11-11,synthetic,benign,,False,0.55,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
synthext0005aaaaaaaaaaaaaaaaaaaaaa:1.6.2->1.6.3,synthext0005aaaaaaaaaaaaaaaaaaaaaa,Translate Tool 005,translate,2026-11-12,synthetic,malicious,keylogger,False,0.7,2.0,1.0,1.0,2.0,1.0,64.0,64.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthext0005aaaaaaaaaaaaaaaaaaaaaa:1.6.3->1.6.4,synthext0005aaaaaaaaaaaaaaaaaaaaaa,Translate Tool 005,translate,2026-07-29,synthetic,benign,,False,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthext0006aaaaaaaaaaaaaaaaaaaaaa:1.5.0->1.5.1,synthext0006aaaaaaaaaaaaaaaaaaaaaa,Adblocker Tool 006,adblocker,2026-10-14,synthetic,malicious,form_jacking,False,0.97,1.0,2.0,2.0,1.0,1.0,550.0,550.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
synthext0006aaaaaaaaaaaaaaaaaaaaaa:1.5.1->1.5.2,synthext0006aaaaaaaaaaaaaaaaaaaaaa,Adblocker Tool 006,adblocker,2026-02-19,synthetic,benign,,False,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
synthext0006aaaaaaaaaaaaaaaaaaaaaa:1.5.2->1.5.3,synthext0006aaaaaaaaaaaaaaaaaaaaaa,Adblocker Tool 006,adblocker,2026-04-28,synthetic,malicious,cookie_theft,True,0.9934,2.0,1.0,1.0,2.0,1.0,585.0,585.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
synthext0006aaaaaaaaaaaaaaaaaaaaaa:1.5.3->1.5.4,synthext0006aaaaaaaaaaaaaaaaaaaaaa,Adblocker Tool 006,adblocker,2026-01-04,synthetic,benign,,False,0.6,1.0,1.0,1.0,1.0,1.0,231.0,231.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
synthext0007aaaaaaaaaaaaaaaaaaaaaa:1.6.0->1.6.1,synthext0007aaaaaaaaaaaaaaaaaaaaaa,Coupon Tool 007,coupon,2026-06-25,synthetic,benign,,False,0.25,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthext0007aaaaaaaaaaaaaaaaaaaaaa:1.6.1->1.6.2,synthext0007aaaaaaaaaaaaaaaaaaaaaa,Coupon Tool 007,coupon,2026-01-05,synthetic,malicious,form_jacking,False,0.97,5.0,2.0,2.0,5.0,2.0,632.0,443.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
synthext0007aaaaaaaaaaaaaaaaaaaaaa:1.6.2->1.6.3,synthext0007aaaaaaaaaaaaaaaaaaaaaa,Coupon Tool 007,coupon,2026-09-07,synthetic,malicious,clipboard_steal,True,0.6,3.0,1.0,1.0,3.0,1.0,65.0,65.0,0.0,0.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
synthext0007aaaaaaaaaaaaaaaaaaaaaa:1.6.3->1.6.4,synthext0007aaaaaaaaaaaaaaaaaaaaaa,Coupon Tool 007,coupon,2026-11-01,synthetic,benign,,False,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthext0008aaaaaaaaaaaaaaaaaaaaaa:1.0.0->1.0.1,synthext0008aaaaaaaaaaaaaaaaaaaaaa,Screenshot Tool 008,screenshot,2026-08-25,synthetic,benign,,False,0.7,1.0,1.0,1.0,1.0,1.0,37.0,37.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
synthext0008aaaaaaaaaaaaaaaaaaaaaa:1.0.1->1.0.2,synthext0008aaaaaaaaaaaaaaaaaaaaaa,Screenshot Tool 008,screenshot,2026-10-24,synthetic,benign,,False,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthext0008aaaaaaaaaaaaaaaaaaaaaa:1.0.2->1.0.3,synthext0008aaaaaaaaaaaaaaaaaaaaaa,Screenshot Tool 008,screenshot,2026-03-10,synthetic,benign,,False,0.7,1.0,1.0,1.0,1.0,1.0,75.0,75.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
synthext0008aaaaaaaaaaaaaaaaaaaaaa:1.0.3->1.0.4,synthext0008aaaaaaaaaaaaaaaaaaaaaa,Screenshot Tool 008,screenshot,2026-03-26,synthetic,malicious,sw_beacon,True,0.9064,2.0,2.0,2.0,2.0,1.0,431.0,431.0,0.0,1.0,-1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
synthext0009aaaaaaaaaaaaaaaaaaaaaa:1.1.0->1.1.1,synthext0009aaaaaaaaaaaaaaaaaaaaaa,Notes Tool 009,notes,2026-08-27,synthetic,benign,,False,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthext0009aaaaaaaaaaaaaaaaaaaaaa:1.1.1->1.1.2,synthext0009aaaaaaaaaaaaaaaaaaaaaa,Notes Tool 009,notes,2026-05-01,synthetic,malicious,sw_beacon,False,0.844,2.0,1.0,1.0,2.0,1.0,557.0,557.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0
synthext0009aaaaaaaaaaaaaaaaaaaaaa:1.1.2->1.1.3,synthext0009aaaaaaaaaaaaaaaaaaaaaa,Notes Tool 009,notes,2026-11-27,synthetic,benign,,False,0.6,1.0,1.0,1.0,1.0,1.0,106.0,106.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
synthext0009aaaaaaaaaaaaaaaaaaaaaa:1.1.3->1.1.4,synthext0009aaaaaaaaaaaaaaaaaaaaaa,Notes Tool 009,notes,2026-05-21,synthetic,malicious,credential_theft,False,0.95,1.0,1.0,1.0,1.0,1.0,235.0,235.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
synthext0010aaaaaaaaaaaaaaaaaaaaaa:1.2.0->1.2.1,synthext0010aaaaaaaaaaaaaaaaaaaaaa,Dictionary Tool 010,dictionary,2026-11-22,synthetic,benign,,False,0.7,1.0,1.0,1.0,1.0,1.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
synthext0010aaaaaaaaaaaaaaaaaaaaaa:1.2.1->1.2.2,synthext0010aaaaaaaaaaaaaaaaaaaaaa,Dictionary Tool 010,dictionary,2026-05-17,synthetic,benign,,False,0.6,0.0,1.0,1.0,0.0,1.0,186.0,186.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
synthext0010aaaaaaaaaaaaaaaaaaaaaa:1.2.2->1.2.3,synthext0010aaaaaaaaaaaaaaaaaaaaaa,Dictionary Tool 010,dictionary,2026-10-07,synthetic,benign,,False,0.6,2.0,1.0,1.0,2.0,1.0,187.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthext0010aaaaaaaaaaaaaaaaaaaaaa:1.2.3->1.2.4,synthext0010aaaaaaaaaaaaaaaaaaaaaa,Dictionary Tool 010,dictionary,2026-05-23,synthetic,benign,,False,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthext0011aaaaaaaaaaaaaaaaaaaaaa:1.3.0->1.3.1,synthext0011aaaaaaaaaaaaaaaaaaaaaa,Videohelper Tool 011,videohelper,2026-10-28,synthetic,malicious,form_jacking,True,0.96,3.0,2.0,2.0,3.0,1.0,652.0,652.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0
synthext0011aaaaaaaaaaaaaaaaaaaaaa:1.3.1->1.3.2,synthext0011aaaaaaaaaaaaaaaaaaaaaa,Videohelper Tool 011,videohelper,2026-06-18,synthetic,benign,,False,0.76,2.0,2.0,2.0,2.0,1.0,214.0,214.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
synthext0011aaaaaaaaaaaaaaaaaaaaaa:1.3.2->1.3.3,synthext0011aaaaaaaaaaaaaaaaaaaaaa,Videohelper Tool 011,videohelper,2026-02-15,synthetic,malicious,history_exfil,True,0.9251,1.0,2.0,2.0,1.0,2.0,959.0,928.0,0.0,1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
synthext0011aaaaaaaaaaaaaaaaaaaaaa:1.3.3->1.3.4,synthext0011aaaaaaaaaaaaaaaaaaaaaa,Videohelper Tool 011,videohelper,2026-04-29,synthetic,malicious,sw_beacon,False,0.883,1.0,1.0,1.0,1.0,1.0,629.0,629.0,0.0,1.0,-1.0,0.0,0.0,2.0,1.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0
synthext0012aaaaaaaaaaaaaaaaaaaaaa:1.0.0->1.0.1,synthext0012aaaaaaaaaaaaaaaaaaaaaa,Reader Tool 012,reader,2026-08-04,synthetic,malicious,sw_beacon,True,0.8752,4.0,2.0,2.0,4.0,2.0,210.0,126.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0
synthext0012aaaaaaaaaaaaaaaaaaaaaa:1.0.1->1.0.2,synthext0012aaaaaaaaaaaaaaaaaaaaaa,Reader Tool 012,reader,2026-05-30,synthetic,benign,,False,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
synthext0012aaaaaaaaaaaaaaaaaaaaaa:1.0.2->1.0.3,synthext0012aaaaaaaaaaaaaaaaaaaaaa,Reader Tool 012,reader,2026-08-10,synthetic,malicious,clipboard_steal,False,0.6,0.0,1.0,1.0,0.0,1.0,242.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
synthext0012aaaaaaaaaaaaaaaaaaaaaa:1.0.3->1.0.4,synthext0012aaaaaaaaaaaaaaaaaaaaaa,Reader Tool 012,reader,2026-09-15,synthetic,benign,,False,0.6,1.0,1.0,1.0,1.0,1.0,64.0,64.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
synthext0013aaaaaaaaaaaaaaaaaaaaaa:1.3.0->1.3.1,synthext0013aaaaaaaaaaaaaaaaaaaaaa,Shopper Tool 013,shopper,2026-02-06,synthetic,malicious,credential_theft,False,0.96,3.0,3.0,3.0,3.0,3.0,594.0,401.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-2.0,2.0,0.0,0.0,0.0
synthext0013aaaaaaaaaaaaaaaaaaaaaa:1.3.1->1.3.2,synthext0013aaaaaaaaaaaaaaaaaaaaaa,Shopper Tool 013,shopper,2026-09-15,synthetic,malicious,credential_theft,False,0.95,0.0,1.0,1.0,0.0,1.0,582.0,582.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,1.0,0.0,0.0,0.0
synthext0013aaaaaaaaaaaaaaaaaaaaaa:1.3.2->1.3.3,synthext0013aaaaaaaaaaaaaaaaaaaaaa,Shopper Tool 013,shopper,2026-07-26,synthetic,malicious,cookie_theft,False,0.9971,2.0,2.0,2.0,2.0,1.0,1135.0,1135.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0
synthext0013aaaaaaaaaaaaaaaaaaaaaa:1.3.3->1.3.4,synthext0013aaaaaaaaaaaaaaaaaaaaaa,Shopper Tool 013,shopper,2026-01-31,synthetic,benign,,False,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthext0014aaaaaaaaaaaaaaaaaaaaaa:1.3.0->1.3.1,synthext0014aaaaaaaaaaaaaaaaaaaaaa,Contacts Tool 014,contacts,2026-10-18,synthetic,benign,,False,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
synthext0014aaaaaaaaaaaaaaaaaaaaaa:1.3.1->1.3.2,synthext0014aaaaaaaaaaaaaaaaaaaaaa,Contacts Tool 014,contacts,2026-10-03,synthetic,malicious,redirect_hijack,False,0.8752,1.0,2.0,2.0,1.0,1.0,110.0,110.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
synthext0014aaaaaaaaaaaaaaaaaaaaaa:1.3.2->1.3.3,synthext0014aaaaaaaaaaaaaaaaaaaaaa,Contacts Tool 014,contacts,2026-03-15,synthetic,benign,,False,0.6,0.0,1.0,1.0,0.0,1.0,202.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
